,label,text,lang
0,0,rt spardaxyz fadli zon minta mendagri segera nonaktif ahok jadi gubernur dki http co kh virwpdo,id
1,0,rt baguscondromowo teru luka aksi rangka penjara ahok ahok gagal pilkada,id
2,0,sylvi bagaimana gurbernur laku kera perempuan bukti banyak ibu mau foto bareng debatfinalpilkadajkt,id
3,0,ahmad dhani tak pua debat pilkada masalah jalan beka sempat ungkap http co hoppluid,id
4,0,rt lisdaulay waspada ktp palsu kawal pilkada http co oooerqv sm,id
5,0,felixsiauw bnyak agam yg baha ke pilkada teru apa tingkat iman cuma bata pilkada,id
6,0,saidaqil apa maksud nyata apa amin kriminalisasi ahok hati jg dg mulut pak http co odvay md,id
7,0,ahok integrasi transportasi publik sistem singl ticket http co ph pqv infotribun,id
8,0,ahok mampu lawan korupsi ibukota bangun infrastruktur coba baik bagai trobosan work well,id
9,0,awa curang pilkada agu sylvi pakai aplikasi http co xwzw nufiu,id
10,0,gak seperti jokowi ahok aku kalem kamu tega sale lengkap,id
11,0,bo mau makan istana ga undang noh makan istana gebang tapi http co ns cuycpuj,id
12,0,cuti habi ahok jadi gubernur dki amat jangan ada republika onlin http co kzvq,id
13,0,debat akhir pilkada dki jakarta gelar malam http co ixz jllr,id
14,0,demonstran fpd malteng desak bawaslu henti tahap pilkada malu tengah,id
15,0,dulu desak henti ahok ngele usai masa cuti pilkada sekarang kampany mau habi kemendagri ragu ragu http co ss trdcx,id
16,0,gila gara pilkada beberapa tokoh tampak watak asli,id
17,0,gontor izin santri pulang kampung nyoblo pilkada dki republika onlin http co jhnot ecnz,id
18,0,gubernur non aktif dki jakarta basuki tjahaja purnama ahok rencana rombak struktur jabat pegawai http co cdkezxf xo,id
19,0,hebat imam besar masjid istiql kalimat ahok ada nista agama sebar,id
20,0,ibu aja kalo beli telor pake milih sblm timbang pdh telor kan mirip ibu tahu telor yg busuk,id
21,0,jawab ahok tanya kait siap debat pilgub akhir besok http co rlsar,id
22,0,pesan ahok hari per nasion kitapastipernah http co mrjm,id
23,0,istighotsah sama ahok catut logo nu http co rpi,id
24,0,yang ngomong jangan pilih ahok djarot pernah ngerasain banjir ga sih,id
25,0,iya aja deh dripada hoax,id
26,0,jadi ingat lacur belia yg jual orang tua sendiri pantura suap nasi http co ddr,id
27,0,jadi yg nyebar hoax tahu dong akun twitter nya lho,id
28,0,mpok sylviana murni nya ma agusyudhoyono,id
29,0,bidara beli mangga pulang nye liwat slip jangan lupa ingetin tetangga milih agu sylvi harilagimilihahi agusbersamaulama,id
30,0,seriu ada selip hibur ud ude ud ude ud ude pilkadadki debatfinalpilkadajkt,id
31,0,sylvi suks blunder bikin paslon drop elektabilitasnya fitnah spin salah pilih kader debatfinalpilkadajkt,id
32,0,ahok lomba program debatfinalpilkadajkt,id
33,0,debatfinalpilkadajkt aduh kecewa tanya paslon,id
34,0,rt agusdansylvi debatfinalpilkadajkt pilih nomor sektor inform maju ma agu mpok sylvi,id
35,0,rt jtmor ahok pilih baik jakarta,id
36,0,rt augustfrankto debatfinalpilkadajkt bu silvi curhat pernah marah sama pak ahok hehe,id
37,0,mantap pak ahok debatfinalpilkadajkt,id
38,0,ahok gagah kaya gatot kaca debatfinalpilkadajkt,id
39,0,telaaaakkk nomer satuuuu nghahahaha debatfinalpilkadajkt,id
40,0,lomba adu program debatfinalpilkadajkt skaksilvi,id
41,0,debatfinalpilkadajkt denger banyak program janji sere tau pa jadi ga jalan rasa male aja sih,id
42,0,debat cagub dki februari segmen mantap ahok skak sylviana murni debatfinalpilkadajkt,id
43,0,tanya ibu silvi rada maksa debatfinalpilkadajkt,id
44,0,tanggal pa pilkada sy gak milih siapa siapa ah,id
45,0,pribadi bakal prefer kok muslim kapabilita lihat kondisi ahok jadi pilih plg realisti buat maju dki,id
46,0,dukung ma ani bukan arti anti pak ahok pula balik,id
47,0,spanduk tolak salat bela nista agama muncul kalibata http co sr pbytign,id
48,0,debatfinalpilkadajkt telak banget anjir ngakak,id
49,0,ayo lomba program jangan fitnah debatfinalpilkadajkt,id
50,0,rt deelestari akhir ngantuk yeay debatfinalpilkadajkt,id
51,0,duh bilang ga punya program paslon kesi kesi kesi debatfinalpilkadajkt,id
52,0,tuntut adil nista agama puluh jawara betawi ikut aksi jilid ii http co hwvuozyyov,id
53,0,kera nih ahok debatfinalpilkadajkt,id
54,0,paslon ani sandiaga uno feb utk jakarta indonesia raya oce,id
55,0,sesuai nama rond final debatfinalpilkadajkt,id
56,0,mendagri tambah puse emoh keluar fatwa statu gubernur nista agama http co amqimni,id
57,0,adu program,id
58,0,genderang perang makin kencang debatfinalpilkadajkt,id
59,0,mpok sylvi udah mulai emosi ud ude debatfinalpilkadajkt,id
60,0,peopl gabisa bedain kasar sama tega debatfinalpilkadajkt,id
61,0,beliau pimpin hebat indonesia bangga http co nawbp xpt http co cc aiev,id
62,0,informasidki mungkin bu silvi jg ken foto sama pak ahok hihihi debatfinalpilkadajkt,id
63,0,debatfinalpilkadajkt mulai sale serang deh,id
